id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
7129300520.00,20141013T000000,221900.00,3.00,1.00,1180.00,5650.00,1.00,0.00,0.00,3.00,7.00,1180.00,0.00,1955.00,0.00,98178.00,47.51,-122.26,1340.00,5650.00
6414100192.00,20141209T000000,538000.00,3.00,2.25,2570.00,7242.00,2.00,0.00,0.00,3.00,7.00,2170.00,400.00,1951.00,1991.00,98125.00,47.72,-122.32,1690.00,7639.00
5631500400.00,20150225T000000,180000.00,2.00,1.00,770.00,10000.00,1.00,0.00,0.00,3.00,6.00,770.00,0.00,1933.00,0.00,98028.00,47.74,-122.23,2720.00,8062.00
2487200875.00,20141209T000000,604000.00,4.00,3.00,1960.00,5000.00,1.00,0.00,0.00,5.00,7.00,1050.00,910.00,1965.00,0.00,98136.00,47.52,-122.39,1360.00,5000.00
1954400510.00,20150218T000000,510000.00,3.00,2.00,1680.00,8080.00,1.00,0.00,0.00,3.00,8.00,1680.00,0.00,1987.00,0.00,98074.00,47.62,-122.05,1800.00,7503.00
7237550310.00,20140512T000000,1225000.00,4.00,4.50,5420.00,101930.00,1.00,0.00,0.00,3.00,11.00,3890.00,1530.00,2001.00,0.00,98053.00,47.66,-122.01,4760.00,101930.00
1321400060.00,20140627T000000,257500.00,3.00,2.25,1715.00,6819.00,2.00,0.00,0.00,3.00,7.00,1715.00,0.00,1995.00,0.00,98003.00,47.31,-122.33,2238.00,6819.00
2008000270.00,20150115T000000,291850.00,3.00,1.50,1060.00,9711.00,1.00,0.00,0.00,3.00,7.00,1060.00,0.00,1963.00,0.00,98198.00,47.41,-122.32,1650.00,9711.00
2414600126.00,20150415T000000,229500.00,3.00,1.00,1780.00,7470.00,1.00,0.00,0.00,3.00,7.00,1050.00,730.00,1960.00,0.00,98146.00,47.51,-122.34,1780.00,8113.00
3793500160.00,20150312T000000,323000.00,3.00,2.50,1890.00,6560.00,2.00,0.00,0.00,3.00,7.00,1890.00,0.00,2003.00,0.00,98038.00,47.37,-122.03,2390.00,7570.00
1736800520.00,20150403T000000,662500.00,3.00,2.50,3560.00,9796.00,1.00,0.00,0.00,3.00,8.00,1860.00,1700.00,1965.00,0.00,98007.00,47.60,-122.15,2210.00,8925.00
9212900260.00,20140527T000000,468000.00,2.00,1.00,1160.00,6000.00,1.00,0.00,0.00,4.00,7.00,860.00,300.00,1942.00,0.00,98115.00,47.69,-122.29,1330.00,6000.00
114101516.00,20140528T000000,310000.00,3.00,1.00,1430.00,19901.00,1.50,0.00,0.00,4.00,7.00,1430.00,0.00,1927.00,0.00,98028.00,47.76,-122.23,1780.00,12697.00
6054650070.00,20141007T000000,400000.00,3.00,1.75,1370.00,9680.00,1.00,0.00,0.00,4.00,7.00,1370.00,0.00,1977.00,0.00,98074.00,47.61,-122.05,1370.00,10208.00
1175000570.00,20150312T000000,530000.00,5.00,2.00,1810.00,4850.00,1.50,0.00,0.00,3.00,7.00,1810.00,0.00,1900.00,0.00,98107.00,47.67,-122.39,1360.00,4850.00
9297300055.00,20150124T000000,650000.00,4.00,3.00,2950.00,5000.00,2.00,0.00,3.00,3.00,9.00,1980.00,970.00,1979.00,0.00,98126.00,47.57,-122.38,2140.00,4000.00
1875500060.00,20140731T000000,395000.00,3.00,2.00,1890.00,14040.00,2.00,0.00,0.00,3.00,7.00,1890.00,0.00,1994.00,0.00,98019.00,47.73,-121.96,1890.00,14018.00
6865200140.00,20140529T000000,485000.00,4.00,1.00,1600.00,4300.00,1.50,0.00,0.00,4.00,7.00,1600.00,0.00,1916.00,0.00,98103.00,47.66,-122.34,1610.00,4300.00
16000397.00,20141205T000000,189000.00,2.00,1.00,1200.00,9850.00,1.00,0.00,0.00,4.00,7.00,1200.00,0.00,1921.00,0.00,98002.00,47.31,-122.21,1060.00,5095.00
7983200060.00,20150424T000000,230000.00,3.00,1.00,1250.00,9774.00,1.00,0.00,0.00,4.00,7.00,1250.00,0.00,1969.00,0.00,98003.00,47.33,-122.31,1280.00,8850.00
6300500875.00,20140514T000000,385000.00,4.00,1.75,1620.00,4980.00,1.00,0.00,0.00,4.00,7.00,860.00,760.00,1947.00,0.00,98133.00,47.70,-122.34,1400.00,4980.00
2524049179.00,20140826T000000,2000000.00,3.00,2.75,3050.00,44867.00,1.00,0.00,4.00,3.00,9.00,2330.00,720.00,1968.00,0.00,98040.00,47.53,-122.23,4110.00,20336.00
7137970340.00,20140703T000000,285000.00,5.00,2.50,2270.00,6300.00,2.00,0.00,0.00,3.00,8.00,2270.00,0.00,1995.00,0.00,98092.00,47.33,-122.17,2240.00,7005.00
8091400200.00,20140516T000000,252700.00,2.00,1.50,1070.00,9643.00,1.00,0.00,0.00,3.00,7.00,1070.00,0.00,1985.00,0.00,98030.00,47.35,-122.17,1220.00,8386.00
3814700200.00,20141120T000000,329000.00,3.00,2.25,2450.00,6500.00,2.00,0.00,0.00,4.00,8.00,2450.00,0.00,1985.00,0.00,98030.00,47.37,-122.17,2200.00,6865.00
1202000200.00,20141103T000000,233000.00,3.00,2.00,1710.00,4697.00,1.50,0.00,0.00,5.00,6.00,1710.00,0.00,1941.00,0.00,98002.00,47.30,-122.22,1030.00,4705.00
1794500383.00,20140626T000000,937000.00,3.00,1.75,2450.00,2691.00,2.00,0.00,0.00,3.00,8.00,1750.00,700.00,1915.00,0.00,98119.00,47.64,-122.36,1760.00,3573.00
